,size
443,0.00038051605224609375
444,0.0085601806640625
445,0.0058803558349609375
446,0.24452972412109375
447,0.0009632110595703125
448,0.0018215179443359375
449,0.03943634033203125
450,0.04334545135498047
451,0.2541942596435547
452,0.0017766952514648438
453,0.013298988342285156
454,0.0016565322875976562
455,0.006762504577636719
456,0.00032806396484375
457,0.0733022689819336
458,0.015924453735351562
459,0.004132270812988281
460,0.14531707763671875
461,0.052150726318359375
462,0.0009222030639648438
463,0.010161399841308594
464,0.31081676483154297
465,0.0004367828369140625
466,0.04897499084472656
467,0.0042362213134765625
468,0.012785911560058594
469,0.0009851455688476562
470,0.022065162658691406
471,0.01928424835205078
472,0.06562614440917969
473,0.0056362152099609375
474,0.02783203125
475,0.022955894470214844
476,0.0055294036865234375
477,0.0005273818969726562
478,0.002094268798828125
479,8.849090576171875
480,0.007458686828613281
481,0.0002536773681640625
482,0.0034008026123046875
483,0.0007562637329101562
484,3.4967641830444336
485,0.23942852020263672
486,0.00689697265625
487,0.016515731811523438
488,0.000980377197265625
489,0.007122993469238281
490,0.031818389892578125
491,0.0012197494506835938
492,0.26512718200683594
493,0.0001983642578125
494,0.111083984375
495,0.02124500274658203
496,0.00016307830810546875
497,0.013495445251464844
498,0.013867378234863281
499,1.4282779693603516
500,0.00025844573974609375
501,0.00371551513671875
502,0.006458282470703125
503,0.0095977783203125
504,0.004100799560546875
505,0.0018224716186523438
506,0.22534942626953125
507,0.0009670257568359375
508,0.11126422882080078
509,6.580352783203125e-05
510,0.028116226196289062
511,0.03918266296386719
512,0.1308736801147461
513,0.004151344299316406
514,0.004229545593261719
515,0.0052547454833984375
516,0.29221153259277344
517,0.022890090942382812
518,0.017210960388183594
519,0.00553131103515625
520,0.0005445480346679688
521,0.0035562515258789062
522,0.00388336181640625
523,0.0012636184692382812
524,0.4961271286010742
525,0.0008602142333984375
526,0.000995635986328125
527,0.01045989990234375
528,0.5262012481689453
529,0.0032205581665039062
530,0.07900238037109375
531,0.4034461975097656
532,0.009451866149902344
533,0.26908111572265625
534,0.0068645477294921875
535,0.023133277893066406
536,0.03732013702392578
537,0.012709617614746094
538,0.0008172988891601562
539,0.016816139221191406
540,0.013067245483398438
541,0.009064674377441406
542,0.0007877349853515625
543,0.0061550140380859375
544,0.006663322448730469
545,0.25206756591796875
546,0.0030536651611328125
547,0.00040340423583984375
548,0.00281524658203125
549,0.009984970092773438
550,0.006997108459472656
551,0.015036582946777344
552,0.009210586547851562
553,0.08237743377685547
554,0.015870094299316406
555,0.04008007049560547
556,0.0031003952026367188
557,0.004825592041015625
558,0.0034637451171875
559,0.004055976867675781
560,0.029775619506835938
561,0.017362594604492188
562,0.042693138122558594
563,0.0017290115356445312
564,0.0072612762451171875
565,0.0029850006103515625
566,0.02883148193359375
567,0.02502918243408203
568,0.005974769592285156
569,0.07850074768066406
570,0.029381752014160156
571,0.0033025741577148438
572,0.02130889892578125
573,0.008235931396484375
574,0.3641538619995117
575,0.003116607666015625
576,0.039764404296875
577,0.0004749298095703125
578,0.00144195556640625
579,4.2375688552856445
580,0.02168750762939453
581,0.16033935546875
582,0.06896495819091797
583,0.0027933120727539062
584,0.001132965087890625
585,0.0029516220092773438
586,0.018410682678222656
587,1.3501062393188477
588,0.023565292358398438
589,0.005512237548828125
590,0.040114402770996094
591,0.01540374755859375
592,0.0017881393432617188
593,1.0001220703125
594,0.08779239654541016
595,0.0017499923706054688
596,0.000438690185546875
597,0.009349822998046875
598,0.00033855438232421875
599,0.006606101989746094
600,0.0067157745361328125
601,0.07614612579345703
602,0.033476829528808594
603,1.7682104110717773
604,0.10717964172363281
605,27.03134536743164
606,0.002017974853515625
607,0.0021162033081054688
608,0.0008296966552734375
609,0.000209808349609375
610,0.6856565475463867
611,5.877886772155762
612,0.0012044906616210938
613,0.07876873016357422
614,0.001026153564453125
615,0.0006723403930664062
616,0.21999740600585938
617,0.0027875900268554688
618,0.01737213134765625
619,0.014271736145019531
620,0.03945732116699219
621,0.00374603271484375
622,0.005863189697265625
623,0.00011730194091796875
624,0.006484031677246094
625,0.0913543701171875
626,0.19630050659179688
627,0.039732933044433594
628,0.004718780517578125
629,0.00018310546875
630,0.0009889602661132812
631,0.0025997161865234375
632,0.037703514099121094
633,0.0006170272827148438
634,0.0024271011352539062
635,0.00353240966796875
636,0.021007537841796875
637,0.00154876708984375
638,0.0052204132080078125
639,0.10493278503417969
640,0.00018596649169921875
641,0.0014209747314453125
